,Unnamed: 0,Ticker,Entry Time,Entry Price,Exit Time,Exit Price,P/L,ROR,Cumulative ROR,Peak ROR,Drawdown
117,118,BANKNIFTY01OCT2021200CE,28-09-2020 09:29,312.85,28-09-2020 09:40,440.55,127.69999999999999,81636.5670449097,-125443.1914579623,120702.56071137282,-246145.75216933512
118,119,BANKNIFTY01OCT2021200PE,28-09-2020 09:29,328.7,28-09-2020 09:40,273.8,-54.89999999999998,-33404.32004867659,-158847.5115066389,120702.56071137282,-279550.0722180117
119,120,BANKNIFTY01OCT2021700CE,29-09-2020 09:29,267.8,29-09-2020 14:16,145.0,-122.80000000000001,-91710.23151605677,-250557.74302269565,120702.56071137282,-371260.30373406847
120,121,BANKNIFTY01OCT2021700PE,29-09-2020 09:29,272.35,29-09-2020 14:16,316.35,44.0,32311.36405360749,-218246.37896908817,120702.56071137282,-338948.93968046096
121,122,BANKNIFTY01OCT2021200CE,30-09-2020 09:29,183.1,30-09-2020 10:57,330.85,147.75000000000003,161387.22009830698,-56859.15887078119,120702.56071137282,-177561.719582154
122,123,BANKNIFTY01OCT2021200PE,30-09-2020 09:29,193.8,30-09-2020 10:57,87.35,-106.45000000000002,-109855.52115583076,-166714.68002661195,120702.56071137282,-287417.2407379848
123,124,BANKNIFTY03SEP2024900CE,31-08-2020 09:29,421.55,31-08-2020 10:27,275.8,-145.75,-69149.56707389395,-235864.24710050592,120702.56071137282,-356566.80781187874
124,125,BANKNIFTY03SEP2024900PE,31-08-2020 09:29,458.2,31-08-2020 10:27,513.3,55.099999999999966,24050.632911392393,-211813.61418911352,120702.56071137282,-332516.17490048637
125,126,BANKNIFTY01OCT2021900CE,01-10-2020 09:29,114.55,01-10-2020 10:01,110.35,-4.200000000000003,-7333.042339589704,-219146.65652870323,120702.56071137282,-339849.21724007605
126,127,BANKNIFTY01OCT2021900PE,01-10-2020 09:29,118.65,01-10-2020 10:01,87.05,-31.60000000000001,-53265.90813316478,-272412.56466186803,120702.56071137282,-393115.12537324085
127,128,BANKNIFTY08OCT2022600CE,05-10-2020 09:29,373.1,05-10-2020 12:04,337.95,-35.150000000000034,-18842.133476279836,-291254.6981381479,120702.56071137282,-411957.2588495207
128,129,BANKNIFTY08OCT2022600PE,05-10-2020 09:29,363.9,05-10-2020 12:04,325.3,-38.599999999999966,-21214.619400934305,-312469.3175390822,120702.56071137282,-433171.878250455
129,130,BANKNIFTY08OCT2022700CE,06-10-2020 09:29,250.85,06-10-2020 12:22,260.2,9.349999999999994,7454.654175802268,-305014.66336327995,120702.56071137282,-425717.22407465277
130,131,BANKNIFTY08OCT2022700PE,06-10-2020 09:29,312.9,06-10-2020 12:22,245.0,-67.89999999999998,-43400.44742729305,-348415.110790573,120702.56071137282,-469117.6715019458
131,132,BANKNIFTY08OCT2022700CE,07-10-2020 09:29,187.1,07-10-2020 09:54,373.85,186.75000000000003,199625.8685195083,-148789.2422710647,120702.56071137282,-269491.80298243754
132,133,BANKNIFTY08OCT2022700PE,07-10-2020 09:29,237.9,07-10-2020 09:54,122.3,-115.60000000000001,-97183.69062631358,-245972.93289737828,120702.56071137282,-366675.4936087511
133,134,BANKNIFTY08OCT2023200CE,08-10-2020 09:29,119.6,08-10-2020 10:16,138.9,19.30000000000001,32274.24749163882,-213698.68540573947,120702.56071137282,-334401.2461171123
134,135,BANKNIFTY08OCT2023200PE,08-10-2020 09:29,136.4,08-10-2020 10:16,91.4,-45.0,-65982.40469208211,-279681.09009782155,120702.56071137282,-400383.65080919437
135,136,BANKNIFTY15OCT2023300CE,09-10-2020 09:29,413.65,09-10-2020 11:07,670.5,256.85,124187.11471050407,-155493.97538731748,120702.56071137282,-276196.5360986903
136,137,BANKNIFTY15OCT2023300PE,09-10-2020 09:29,411.35,09-10-2020 11:07,248.4,-162.95000000000002,-79226.93569952596,-234720.91108684344,120702.56071137282,-355423.4717982162
